국가명,국가코드,기준연도,gdp성장률
United Kingdom,GBR,2014,3.199703
United Kingdom,GBR,2015,2.393103
United Kingdom,GBR,2016,2.165206
United Kingdom,GBR,2017,2.44357
United Kingdom,GBR,2018,1.705021
United Kingdom,GBR,2019,1.604309
United Kingdom,GBR,2020,-11.030858
United Kingdom,GBR,2021,7.597471
United Kingdom,GBR,2022,4.101621
China (People's Republic of),CHN,1971,7.075884
China (People's Republic of),CHN,1972,3.826296
China (People's Republic of),CHN,1973,7.772898
China (People's Republic of),CHN,1974,2.335503
China (People's Republic of),CHN,1975,8.704543
China (People's Republic of),CHN,1976,-1.560131
China (People's Republic of),CHN,1977,7.575974
China (People's Republic of),CHN,1978,11.663427
China (People's Republic of),CHN,1979,7.592717
China (People's Republic of),CHN,1980,7.832633
China (People's Republic of),CHN,1981,5.111629
China (People's Republic of),CHN,1982,9.018935
China (People's Republic of),CHN,1983,10.76868
China (People's Republic of),CHN,1984,15.192646
China (People's Republic of),CHN,1985,13.430746
China (People's Republic of),CHN,1986,8.949006
China (People's Republic of),CHN,1987,11.658049
China (People's Republic of),CHN,1988,11.221908
China (People's Republic of),CHN,1989,4.206915
China (People's Republic of),CHN,1990,3.919807
China (People's Republic of),CHN,1991,9.262411
China (People's Republic of),CHN,1992,14.224775
China (People's Republic of),CHN,1993,13.883747
China (People's Republic of),CHN,1994,13.036584
China (People's Republic of),CHN,1995,10.953932
China (People's Republic of),CHN,1996,9.922745
China (People's Republic of),CHN,1997,9.23656
China (People's Republic of),CHN,1998,7.846128
China (People's Republic of),CHN,1999,7.661641
China (People's Republic of),CHN,2000,8.489981
China (People's Republic of),CHN,2001,8.335768
China (People's Republic of),CHN,2002,9.133638
China (People's Republic of),CHN,2003,10.038047
China (People's Republic of),CHN,2004,10.113647
China (People's Republic of),CHN,2005,11.394588
China (People's Republic of),CHN,2006,12.720995
China (People's Republic of),CHN,2007,14.230838
China (People's Republic of),CHN,2008,9.65066
China (People's Republic of),CHN,2009,9.398742
China (People's Republic of),CHN,2010,10.63585
China (People's Republic of),CHN,2011,9.550825
China (People's Republic of),CHN,2012,7.86372
China (People's Republic of),CHN,2013,7.766147
China (People's Republic of),CHN,2014,7.425774
China (People's Republic of),CHN,2015,7.041319
China (People's Republic of),CHN,2016,6.848768
China (People's Republic of),CHN,2017,6.947196
China (People's Republic of),CHN,2018,6.749771
China (People's Republic of),CHN,2019,6.11012
China (People's Republic of),CHN,2020,2.084852
Colombia,COL,1976,4.643699
Colombia,COL,1977,4.191094
Colombia,COL,1978,8.507129
Colombia,COL,1979,5.430969
Colombia,COL,1980,4.156122
Colombia,COL,1981,2.470697
Colombia,COL,1982,1.127302
Colombia,COL,1983,1.711095
Colombia,COL,1984,3.014929
Colombia,COL,1985,3.021915
Colombia,COL,1986,5.769302
Colombia,COL,1987,5.604214
Colombia,COL,1988,4.51529
Colombia,COL,1989,3.550786
Colombia,COL,1990,4.383466
Colombia,COL,1991,2.789221
Colombia,COL,1992,4.323615
Colombia,COL,1993,5.72679
Colombia,COL,1994,5.607812
Colombia,COL,1995,5.32544
Colombia,COL,1996,1.588052
Colombia,COL,1997,3.194517
Colombia,COL,1998,0.604257
Colombia,COL,1999,-5.190991
Colombia,COL,2000,2.569198
Colombia,COL,2001,1.677928
Colombia,COL,2002,2.503863
Colombia,COL,2003,3.918507
Colombia,COL,2004,5.332942
Colombia,COL,2005,4.706559
Colombia,COL,2006,6.716869
Colombia,COL,2007,6.738195
Colombia,COL,2008,3.283446
Colombia,COL,2009,1.139649
Colombia,COL,2010,4.494659
Colombia,COL,2011,6.947892
Colombia,COL,2012,3.912636
Colombia,COL,2013,5.133994
Colombia,COL,2014,4.49903
Colombia,COL,2015,2.955901
Colombia,COL,2016,2.087383
Colombia,COL,2017,1.359361
Colombia,COL,2018,2.564324
Colombia,COL,2019,3.186855
Colombia,COL,2020,-7.252299
Colombia,COL,2021,11.016193
Sweden,SWE,1951,2.806311
Sweden,SWE,1952,1.642947
Sweden,SWE,1953,3.461355
Sweden,SWE,1954,5.718967
Sweden,SWE,1955,3.011803
Sweden,SWE,1956,3.333609
Sweden,SWE,1957,2.37874
Sweden,SWE,1958,2.411271
Sweden,SWE,1959,5.363037
Sweden,SWE,1960,3.654117
Sweden,SWE,1961,5.681293
Sweden,SWE,1962,4.259047
Sweden,SWE,1963,5.327934
Sweden,SWE,1964,6.821165
Sweden,SWE,1965,3.821508
Sweden,SWE,1966,2.090844
Sweden,SWE,1967,3.365389
Sweden,SWE,1968,3.638506
Sweden,SWE,1969,5.009075
Sweden,SWE,1970,6.473674
Sweden,SWE,1971,0.944646
Sweden,SWE,1972,2.288739
Sweden,SWE,1973,3.967981
Sweden,SWE,1974,3.198196
Sweden,SWE,1975,2.552863
Sweden,SWE,1976,1.058105
Sweden,SWE,1977,-1.596259
Sweden,SWE,1978,1.751548
