국가명,국가코드,기준연도,gdp
France,FRA,1966,82826.0
France,FRA,1967,89545.0
France,FRA,1968,97683.0
France,FRA,1969,112366.0
France,FRA,1970,125698.0
France,FRA,1971,140192.0
France,FRA,1972,156487.0
France,FRA,1973,179495.0
France,FRA,1974,209367.0
France,FRA,1975,235876.0
France,FRA,1976,272612.0
France,FRA,1977,306807.0
France,FRA,1978,348615.0
France,FRA,1979,398210.0
France,FRA,1980,451770.0
France,FRA,1981,509985.0
France,FRA,1982,585989.0
France,FRA,1983,650512.0
France,FRA,1984,707030.0
France,FRA,1985,757689.0
France,FRA,1986,814596.0
France,FRA,1987,855983.0
France,FRA,1988,925215.0
France,FRA,1989,997121.0
France,FRA,1990,1053546.0
France,FRA,1991,1091705.0
France,FRA,1992,1130983.0
France,FRA,1993,1142119.0
France,FRA,1994,1179867.0
France,FRA,1995,1218273.0
France,FRA,1996,1252266.0
France,FRA,1997,1292777.0
France,FRA,1998,1351896.0
France,FRA,1999,1400999.0
France,FRA,2000,1478585.0
France,FRA,2001,1538200.0
