"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1978","1978","PC","Percentage","0","Units",,,-0.210653,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1979","1979","PC","Percentage","0","Units",,,5.3567,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1980","1980","PC","Percentage","0","Units",,,1.731485,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1981","1981","PC","Percentage","0","Units",,,-0.144295,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1982","1982","PC","Percentage","0","Units",,,2.011254,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1983","1983","PC","Percentage","0","Units",,,2.973088,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1984","1984","PC","Percentage","0","Units",,,0.051275,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1985","1985","PC","Percentage","0","Units",,,2.498679,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1986","1986","PC","Percentage","0","Units",,,2.301393,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1987","1987","PC","Percentage","0","Units",,,1.357168,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1988","1988","PC","Percentage","0","Units",,,3.29588,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1989","1989","PC","Percentage","0","Units",,,3.887075,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1990","1990","PC","Percentage","0","Units",,,4.345642,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1991","1991","PC","Percentage","0","Units",,,3.441627,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1992","1992","PC","Percentage","0","Units",,,2.093525,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1993","1993","PC","Percentage","0","Units",,,0.526809,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1994","1994","PC","Percentage","0","Units",,,2.402119,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","G","Growth rate","1995","1995","PC","Percentage","0","Units",,,2.667984,,
